AGS,KRS,Name,Partei,Farbe,Wahl_1990,Wahl_1994,Wahl_1998,Wahl_2002,Wahl_2005,Wahl_2009,Wahl_2013,Haushaltseinkommen,Arbeitslosenquote,Christen,Ausländeranteil,Wohnungseinbrüche,Durchschnittsalter,Gemeindetyp
9779112,9779,Amerdingen,CDU/CSU,black,0.72,0.69,0.65,0.78,0.67,0.62,0.69,1942,2.1,85,6.8,51,42.7,Landgemeinde
9779138,9779,Ehingen a.Ries,CDU/CSU,black,0.77,0.74,0.67,0.79,0.74,0.63,0.71,1942,2.1,95.6,6.8,51,42.7,Kleinstadt
9779147,9779,Fremdingen,CDU/CSU,black,0.77,0.75,0.66,0.82,0.76,0.61,0.69,1942,2.1,94.7,6.8,51,42.7,Landgemeinde
9779176,9779,Maihingen,CDU/CSU,black,0.74,0.72,0.7,0.82,0.73,0.63,0.69,1942,2.1,93.7,6.8,51,42.7,Landgemeinde
9779180,9779,Megesheim,CDU/CSU,black,0.78,0.75,0.7,0.82,0.72,0.63,0.72,1942,2.1,94,6.8,51,42.7,Kleinstadt
9779188,9779,Munningen,CDU/CSU,black,0.76,0.71,0.66,0.77,0.72,0.65,0.77,1942,2.1,95.4,6.8,51,42.7,Kleinstadt
9779231,9779,Wolferstadt,CDU/CSU,black,0.76,0.76,0.72,0.8,0.71,0.58,0.7,1942,2.1,98,6.8,51,42.7,Kleinstadt
9780116,9780,Bolsterlang,CDU/CSU,black,0.71,0.71,0.7,0.8,0.68,0.57,0.65,1932,3.1,85,6.8,21,44.3,Landgemeinde
9780131,9780,Obermaiselstein,CDU/CSU,black,0.71,0.75,0.78,0.81,0.74,0.61,0.68,1932,3.1,83,6.8,21,44.3,Landgemeinde
12053000,12053,Frankfurt,Linke,Linke,0.19,0.27,0.22,0.2,0.31,0.34,0.27,1428,13.1,12.8,5.9,114,46.7,Mittelstadt
12060020,12060,Bernau bei Berlin,Linke,Linke,0.21,0.3,0.28,0.23,0.31,0.37,0.3,1586,8.6,13.3,2.4,195,46.1,Mittelstadt
12060024,12060,Biesenthal,Linke,Linke,0.13,0.21,0.25,0.19,0.29,0.32,0.26,1586,8.6,19.7,2.4,195,46.1,Kleinstadt
12060052,12060,Eberswalde,Linke,Linke,0.11,0.2,0.23,0.2,0.32,0.34,0.28,1586,8.6,13.4,2.4,195,46.1,Mittelstadt
12060269,12060,Wandlitz,Linke,Linke,0.13,0.23,0.24,0.2,0.27,0.32,0.25,1586,8.6,16.2,2.4,195,46.1,Mittelstadt
12064130,12064,Fichtenhöhe,AfD,blue,0.15,0.15,0.14,0.12,0.12,0.16,0.15,1547,9.1,19.9,1.8,141,46.6,Landgemeinde
12064205,12064,Heckelberg-Brunow,Linke,Linke,0.11,0.19,0.26,0.22,0.38,0.41,0.28,1547,9.1,16,1.8,141,46.6,Landgemeinde
12064227,12064,Hoppegarten,Linke,Linke,0.15,0.26,0.28,0.24,0.27,0.33,0.27,1547,9.1,10.2,1.8,141,46.6,Kleinstadt
12064340,12064,Neuhardenberg,Linke,Linke,0.25,0.33,0.25,0.24,0.35,0.36,0.28,1547,9.1,22.1,1.8,141,46.6,Landgemeinde
12064448,12064,Seelow,Linke,Linke,0.18,0.25,0.25,0.21,0.35,0.36,0.29,1547,9.1,14.2,1.8,141,46.6,Kleinstadt
12064472,12064,Strausberg,Linke,Linke,0.33,0.39,0.34,0.26,0.35,0.39,0.31,1547,9.1,9.1,1.8,141,46.6,Mittelstadt
12064484,12064,Waldsieversdorf,Linke,Linke,0.16,0.29,0.22,0.2,0.3,0.34,0.27,1547,9.1,21.2,1.8,141,46.6,Landgemeinde
12064539,12064,Zeschdorf,Linke,Linke,0.12,0.21,0.24,0.24,0.34,0.38,0.29,1547,9.1,15,1.8,141,46.6,Landgemeinde
12065100,12065,Gransee,Linke,Linke,0.13,0.21,0.22,0.19,0.29,0.31,0.26,1559,8.3,24,2.2,201,45.5,Kleinstadt
12066304,12066,Senftenberg,Linke,Linke,0.11,0.2,0.22,0.2,0.32,0.31,0.26,1509,12.5,13.2,1.8,161,48.6,Mittelstadt
12067024,12067,Bad Saarow,Linke,Linke,0.17,0.27,0.27,0.23,0.28,0.33,0.25,1550,9,17.3,3.1,223,47.3,Kleinstadt
12067120,12067,Eisenhüttenstadt,Linke,Linke,0.13,0.22,0.22,0.2,0.32,0.33,0.26,1550,9,8.4,3.1,223,47.3,Mittelstadt
12067124,12067,Erkner,Linke,Linke,0.21,0.27,0.25,0.23,0.31,0.36,0.28,1550,9,13.9,3.1,223,47.3,Kleinstadt
12067201,12067,Grünheide,Linke,Linke,0.1,0.19,0.21,0.19,0.28,0.31,0.24,1550,9,15.6,3.1,223,47.3,Kleinstadt
12070296,12070,Perleberg,Linke,Linke,0.12,0.19,0.22,0.19,0.28,0.31,0.26,1508,12,22.6,1.8,112,48.8,Kleinstadt
12071153,12071,Groß Schacksdorf-Simmersdorf,Linke,Linke,0.24,0.29,0.22,0.21,0.36,0.31,0.25,1573,10.3,17.8,1.9,81,48.6,Landgemeinde
12073490,12073,Schenkenberg,Linke,Linke,0.11,0.19,0.22,0.24,0.31,0.34,0.27,1448,15.4,30.2,2.3,119,48.1,Landgemeinde
12073520,12073,Schönfeld,Linke,Linke,0.14,0.21,0.25,0.22,0.29,0.4,0.31,1448,15.4,25,2.3,119,48.1,Landgemeinde
13071016,13071,Breesen,Linke,Linke,0.19,0.23,0.27,0.2,0.33,0.39,0.28,1461,13.2,21.7,1.6,65,47,Kleinstadt
13071042,13071,Godendorf,Linke,Linke,0.14,0.19,0.24,0.21,0.27,0.38,0.28,1461,13.2,7.4,1.6,65,47,Landgemeinde
13071049,13071,Grapzow,AfD,blue,0.09,0.09,0.08,0.11,0.1,0.14,0.13,1461,13.2,23,1.6,65,47,Kleinstadt
13071050,13071,Grischow,AfD,blue,0.1,0.09,0.08,0.09,0.1,0.13,0.12,1461,13.2,1.1,1.6,65,47,Kleinstadt
13071057,13071,Groß Teetzleben,Linke,Linke,0.16,0.28,0.3,0.24,0.34,0.4,0.3,1461,13.2,19.3,1.6,65,47,Kleinstadt
13071059,13071,Gültz,Linke,Linke,0.12,0.19,0.25,0.19,0.31,0.38,0.25,1461,13.2,29,1.6,65,47,Kleinstadt
13071063,13071,Hohen Wangelin,Linke,Linke,0.11,0.24,0.31,0.18,0.29,0.35,0.27,1461,13.2,23,1.6,65,47,Landgemeinde
13071104,13071,Neddemin,AfD,blue,0.12,0.13,0.08,0.09,0.09,0.1,0.11,1461,13.2,2,1.6,65,47,Landgemeinde
13071107,13071,Neubrandenburg,Linke,Linke,0.23,0.31,0.29,0.21,0.29,0.34,0.26,1461,13.2,13.1,1.6,65,47,Mittelstadt
13071118,13071,Priborn,Linke,Linke,0.15,0.23,0.26,0.23,0.3,0.4,0.33,1461,13.2,16.8,1.6,65,47,Kleinstadt
13071132,13071,Schönhausen,Linke,Linke,0.1,0.23,0.3,0.2,0.31,0.4,0.29,1461,13.2,19,1.6,65,47,Landgemeinde
13071146,13071,Tützpatz,Linke,Linke,0.15,0.2,0.24,0.19,0.29,0.34,0.28,1461,13.2,35.5,1.6,65,47,Kleinstadt
13071154,13071,Vollrathsruhe,Linke,Linke,0.13,0.26,0.28,0.24,0.3,0.38,0.27,1461,13.2,27,1.6,65,47,Landgemeinde
13071159,13071,Wesenberg,Linke,Linke,0.09,0.19,0.22,0.18,0.28,0.32,0.24,1461,13.2,19.4,1.6,65,47,Landgemeinde
13071163,13071,Wolde,Linke,Linke,0.12,0.21,0.22,0.19,0.31,0.36,0.27,1461,13.2,34,1.6,65,47,Kleinstadt
13072023,13072,Dahmen,Linke,Linke,0.24,0.3,0.29,0.26,0.31,0.36,0.31,1521,8.7,26,1.8,88,46.2,Landgemeinde
13072037,13072,Grammow,AfD,blue,0.1,0.11,0.12,0.13,0.12,0.15,0.15,1521,8.7,17,1.8,88,46.2,Landgemeinde
13072067,13072,Lohmen,Linke,Linke,0.13,0.21,0.25,0.18,0.27,0.32,0.27,1521,8.7,22,1.8,88,46.2,Landgemeinde
13072078,13072,Penzin,AfD,blue,0.15,0.14,0.12,0.12,0.13,0.15,0.14,1521,8.7,2.7,1.8,88,46.2,Kleinstadt
13072094,13072,Schorssow,Linke,Linke,0.12,0.18,0.24,0.18,0.28,0.32,0.25,1521,8.7,24,1.8,88,46.2,Landgemeinde
13073019,13073,Dranske,Linke,Linke,0.31,0.34,0.24,0.24,0.3,0.33,0.27,1456,12.8,11,2.1,78,47.2,Landgemeinde
13073021,13073,Dreschvitz,Linke,Linke,0.13,0.25,0.24,0.19,0.3,0.34,0.27,1456,12.8,17.5,2.1,78,47.2,Landgemeinde
13073030,13073,Glowe,Linke,Linke,0.14,0.27,0.25,0.18,0.27,0.35,0.25,1456,12.8,14.5,2.1,78,47.2,Landgemeinde
13073034,13073,Gremersdorf-Buchholz,Linke,Linke,0.12,0.21,0.24,0.21,0.32,0.35,0.25,1456,12.8,24,2.1,78,47.2,Landgemeinde
13073042,13073,Karnin,AfD,blue,0.13,0.12,0.11,0.1,0.09,0.11,0.12,1456,12.8,18,2.1,78,47.2,Kleinstadt
13073047,13073,Kummerow,AfD,blue,0.11,0.12,0.11,0.14,0.12,0.14,0.16,1456,12.8,16,2.1,78,47.2,Landgemeinde
13073052,13073,Lohme,AfD,blue,0.08,0.09,0.08,0.08,0.09,0.1,0.12,1456,12.8,17.2,2.1,78,47.2,Landgemeinde
13073059,13073,Neuenkirchen,AfD,blue,0.08,0.09,0.08,0.09,0.09,0.11,0.13,1456,12.8,25,2.1,78,47.2,Landgemeinde
13073078,13073,Sagard,Linke,Linke,0.16,0.26,0.27,0.19,0.29,0.33,0.25,1456,12.8,10.9,2.1,78,47.2,Landgemeinde
13073080,13073,Sassnitz,Linke,Linke,0.16,0.28,0.28,0.22,0.3,0.36,0.27,1456,12.8,11.4,2.1,78,47.2,Kleinstadt
13073083,13073,Sehlen,Linke,Linke,0.12,0.21,0.22,0.19,0.28,0.35,0.27,1456,12.8,16,2.1,78,47.2,Kleinstadt
13073095,13073,Ummanz,AfD,blue,0.09,0.09,0.08,0.1,0.09,0.11,0.11,1456,12.8,21.9,2.1,78,47.2,Landgemeinde
13073098,13073,Wendisch Baggendorf,Linke,Linke,0.14,0.27,0.25,0.21,0.31,0.34,0.28,1456,12.8,9,2.1,78,47.2,Landgemeinde
13074030,13074,Groß Stieten,Linke,Linke,0.18,0.24,0.29,0.18,0.32,0.46,0.29,1460,9.3,10,2.2,144,45.5,Landgemeinde
13074061,13074,Perlin,AfD,blue,0.14,0.15,0.11,0.12,0.1,0.14,0.14,1460,9.3,24,2.2,144,45.5,Landgemeinde
13075011,13075,Bergholz,AfD,blue,0.07,0.07,0.08,0.09,0.09,0.12,0.12,1387,13.6,39.3,3,111,46.2,Landgemeinde
13075043,13075,Groß Polzin,Linke,Linke,0.19,0.3,0.27,0.21,0.31,0.37,0.3,1387,13.6,31,3,111,46.2,Landgemeinde
13075058,13075,Karlshagen,Linke,Linke,0.31,0.43,0.31,0.26,0.32,0.38,0.27,1387,13.6,12.7,3,111,46.2,Landgemeinde
13075092,13075,Mölschow,AfD,blue,0.11,0.12,0.09,0.08,0.08,0.1,0.12,1387,13.6,21.1,3,111,46.2,Landgemeinde
