"AGS","Name","Wahlberechtigte","Wähler","Gültige","CDU","SPD","FDP","DIE.LINKE","GRÜNE","CSU","PIRATEN","NPD","Tierschutzpartei","REP","ÖDP","FAMILIE","Bündnis.21.RRP","RENTNER","BP","PBC","BüSo","DIE.VIOLETTEN","MLPD","Volksabstimmung","PSG","AfD","BIG","pro.Deutschland","DIE.RECHTE","DIE.FRAUEN","FREIE.WÄHLER","Partei.der.Nichtwähler","PARTEI.DER.VERNUNFT","Die.PARTEI","CDU_rel","SPD_rel","FDP_rel","DIE.LINKE_rel","GRÜNE_rel","CSU_rel","PIRATEN_rel","NPD_rel","Tierschutzpartei_rel","REP_rel","ÖDP_rel","FAMILIE_rel","Bündnis.21.RRP_rel","RENTNER_rel","BP_rel","PBC_rel","BüSo_rel","DIE.VIOLETTEN_rel","MLPD_rel","Volksabstimmung_rel","PSG_rel","AfD_rel","BIG_rel","pro.Deutschland_rel","DIE.RECHTE_rel","DIE.FRAUEN_rel","FREIE.WÄHLER_rel","Partei.der.Nichtwähler_rel","PARTEI.DER.VERNUNFT_rel","Die.PARTEI_rel","Wahlbeteiligung","ost_west"
"14522600","Zettlitz",677,407,403,166,45,11,113,8,0,11,19,0,0,0,0,0,0,0,0,0,0,1,0,0,25,0,1,0,0,3,0,0,0,41.191,11.166,2.73,28.04,1.985,0,2.73,4.715,0,0,0,0,0,0,0,0,0,0,0.248,0,0,6.203,0,0.248,0,0,0.744,0,0,0,60.1,"Ost"
"14522620","Zschaitz-Ottewig",1121,774,765,331,76,26,175,18,0,14,53,0,0,0,0,0,0,0,0,1,0,0,0,0,51,0,6,0,0,14,0,0,0,43.268,9.935,3.399,22.876,2.353,0,1.83,6.928,0,0,0,0,0,0,0,0,0.131,0,0,0,0,6.667,0,0.784,0,0,1.83,0,0,0,69,"Ost"
"14523010","Adorf/Vogtl.",4517,2685,2659,1275,426,55,453,71,0,42,102,0,0,0,0,0,0,0,0,4,0,1,0,0,165,0,12,0,0,53,0,0,0,47.95,16.021,2.068,17.036,2.67,0,1.58,3.836,0,0,0,0,0,0,0,0,0.15,0,0.038,0,0,6.205,0,0.451,0,0,1.993,0,0,0,59.4,"Ost"
"14523020","Auerbach/Vogtl.",16572,9523,9375,4280,1467,225,1962,267,0,171,302,0,0,0,0,0,0,0,0,10,0,3,0,0,582,0,21,0,0,85,0,0,0,45.653,15.648,2.4,20.928,2.848,0,1.824,3.221,0,0,0,0,0,0,0,0,0.107,0,0.032,0,0,6.208,0,0.224,0,0,0.907,0,0,0,57.5,"Ost"
"14523030","Bad Brambach",1708,1015,1001,472,142,20,188,26,0,9,30,0,0,0,0,0,0,0,0,0,0,1,0,0,100,0,2,0,0,11,0,0,0,47.153,14.186,1.998,18.781,2.597,0,0.899,2.997,0,0,0,0,0,0,0,0,0,0,0.1,0,0,9.99,0,0.2,0,0,1.099,0,0,0,59.4,"Ost"
"14523040","Bad Elster",3262,1862,1828,739,311,67,379,61,0,30,72,0,0,0,0,0,0,0,0,2,0,1,0,0,136,0,4,0,0,26,0,0,0,40.427,17.013,3.665,20.733,3.337,0,1.641,3.939,0,0,0,0,0,0,0,0,0.109,0,0.055,0,0,7.44,0,0.219,0,0,1.422,0,0,0,57.1,"Ost"
"14523050","Bergen",881,566,558,248,97,15,106,13,0,12,28,0,0,0,0,0,0,0,0,0,0,1,0,0,31,0,3,0,0,4,0,0,0,44.444,17.384,2.688,18.996,2.33,0,2.151,5.018,0,0,0,0,0,0,0,0,0,0,0.179,0,0,5.556,0,0.538,0,0,0.717,0,0,0,64.2,"Ost"
"14523060","Bösenbrunn",1019,637,630,267,74,25,147,19,0,13,23,0,0,0,0,0,0,0,0,3,0,0,0,0,48,0,4,0,0,7,0,0,0,42.381,11.746,3.968,23.333,3.016,0,2.063,3.651,0,0,0,0,0,0,0,0,0.476,0,0,0,0,7.619,0,0.635,0,0,1.111,0,0,0,62.5,"Ost"
"14523080","Eichigt",1070,662,655,288,104,10,143,26,0,9,37,0,0,0,0,0,0,0,0,1,0,0,0,0,35,0,0,0,0,2,0,0,0,43.969,15.878,1.527,21.832,3.969,0,1.374,5.649,0,0,0,0,0,0,0,0,0.153,0,0,0,0,5.344,0,0,0,0,0.305,0,0,0,61.9,"Ost"
"14523090","Ellefeld",2338,1480,1421,737,212,34,254,43,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,6,0,0,9,0,0,0,51.865,14.919,2.393,17.875,3.026,0,1.478,1.407,0,0,0,0,0,0,0,0,0,0,0,0,0,5.982,0,0.422,0,0,0.633,0,0,0,63.3,"Ost"
"14523100","Elsterberg",3766,2249,2204,943,388,61,457,102,0,52,69,0,0,0,0,0,0,0,0,1,0,4,0,0,99,0,8,0,0,20,0,0,0,42.786,17.604,2.768,20.735,4.628,0,2.359,3.131,0,0,0,0,0,0,0,0,0.045,0,0.181,0,0,4.492,0,0.363,0,0,0.907,0,0,0,59.7,"Ost"
"14523120","Falkenstein/Vogtl.",7242,4135,4077,1863,648,125,847,85,0,84,142,0,0,0,0,0,0,0,0,3,0,4,0,0,237,0,16,0,0,23,0,0,0,45.695,15.894,3.066,20.775,2.085,0,2.06,3.483,0,0,0,0,0,0,0,0,0.074,0,0.098,0,0,5.813,0,0.392,0,0,0.564,0,0,0,57.1,"Ost"
