"KRS","KRS_Name","Einwohner","Wahlberechtigte","Wähler","Gültige","CDU","SPD","FDP","DIE.LINKE","GRÜNE","CSU","PIRATEN","NPD","Tierschutzpartei","REP","ÖDP","FAMILIE","Bündnis.21.RRP","RENTNER","BP","PBC","BüSo","DIE.VIOLETTEN","MLPD","Volksabstimmung","PSG","AfD","BIG","pro.Deutschland","DIE.RECHTE","DIE.FRAUEN","FREIE.WÄHLER","Partei.der.Nichtwähler","PARTEI.DER.VERNUNFT","Die.PARTEI","CDU_rel","SPD_rel","FDP_rel","DIE.LINKE_rel","GRÜNE_rel","CSU_rel","PIRATEN_rel","NPD_rel","Tierschutzpartei_rel","REP_rel","ÖDP_rel","FAMILIE_rel","Bündnis.21.RRP_rel","RENTNER_rel","BP_rel","PBC_rel","BüSo_rel","DIE.VIOLETTEN_rel","MLPD_rel","Volksabstimmung_rel","PSG_rel","AfD_rel","BIG_rel","pro.Deutschland_rel","DIE.RECHTE_rel","DIE.FRAUEN_rel","FREIE.WÄHLER_rel","Partei.der.Nichtwähler_rel","PARTEI.DER.VERNUNFT_rel","Die.PARTEI_rel","Wahlbeteiligung","ost_west"
"07143","Westerwaldkreis","199131",154628,113910,112347,53139,29874,5953,5565,6661,0,2264,1284,0,206,223,0,0,0,0,0,0,0,62,0,0,5491,0,215,0,0,1200,0,210,0,47.299,26.591,5.299,4.953,5.929,0,2.015,1.143,0,0.183,0.198,0,0,0,0,0,0,0,0.055,0,0,4.888,0,0.191,0,0,1.068,0,0.187,0,73.6671236774711,"West"
"07211","Trier","108472",81697,56510,55853,21562,14859,2936,4192,7151,0,1701,375,0,42,139,0,0,0,0,0,0,0,50,0,0,2356,0,44,0,0,365,0,81,0,38.605,26.604,5.257,7.505,12.803,0,3.045,0.671,0,0.075,0.249,0,0,0,0,0,0,0,0.09,0,0,4.218,0,0.079,0,0,0.654,0,0.145,0,69.1702265689071,"West"
"07231","Bernkastel-Wittlich","110981",87870,63615,62540,31077,14470,3984,3093,3872,0,1214,495,0,75,219,0,0,0,0,0,0,0,24,0,0,2599,0,109,0,0,1112,0,197,0,49.691,23.137,6.37,4.946,6.191,0,1.941,0.791,0,0.12,0.35,0,0,0,0,0,0,0,0.038,0,0,4.156,0,0.174,0,0,1.778,0,0.315,0,72.3967224308638,"West"
"07232","Eifelkreis Bitburg-Prüm","96408",73484,52800,51869,26721,11738,3219,2132,3395,0,890,379,0,45,115,0,0,0,0,0,0,0,8,0,0,1775,0,79,0,0,1043,0,330,0,51.516,22.63,6.206,4.11,6.545,0,1.716,0.731,0,0.087,0.222,0,0,0,0,0,0,0,0.015,0,0,3.422,0,0.152,0,0,2.011,0,0.636,0,71.8523760274345,"West"
"07233","Vulkaneifel","60775",48954,34976,34400,18560,7538,2071,1603,1751,0,634,263,0,39,96,0,0,0,0,0,0,0,11,0,0,1209,0,53,0,0,456,0,116,0,53.953,21.913,6.02,4.66,5.09,0,1.843,0.765,0,0.113,0.279,0,0,0,0,0,0,0,0.032,0,0,3.515,0,0.154,0,0,1.326,0,0.337,0,71.4466642153859,"West"
"07235","Trier-Saarburg","145227",112106,84624,82671,39347,21551,3905,4496,6006,0,1807,668,0,94,151,0,0,0,0,0,0,0,26,0,0,3380,0,129,0,0,924,0,187,0,47.595,26.068,4.724,5.438,7.265,0,2.186,0.808,0,0.114,0.183,0,0,0,0,0,0,0,0.031,0,0,4.088,0,0.156,0,0,1.118,0,0.226,0,75.485701032951,"West"
"07311","Frankenthal","47724",34091,23364,22944,9937,6266,1136,1399,1549,0,552,306,0,155,33,0,0,0,0,0,0,0,20,0,0,1225,0,42,0,0,262,0,62,0,43.31,27.31,4.951,6.097,6.751,0,2.406,1.334,0,0.676,0.144,0,0,0,0,0,0,0,0.087,0,0,5.339,0,0.183,0,0,1.142,0,0.27,0,68.5342172420874,"West"
"07312","Kaiserslautern","97382",73692,48135,47323,17077,14191,2465,3819,4133,0,1581,769,0,133,100,0,0,0,0,0,0,0,21,0,0,2146,0,114,0,0,625,0,149,0,36.086,29.988,5.209,8.07,8.734,0,3.341,1.625,0,0.281,0.211,0,0,0,0,0,0,0,0.044,0,0,4.535,0,0.241,0,0,1.321,0,0.315,0,65.3191662595668,"West"
"07313","Landau in der Pfalz","44465",34637,24608,24221,8911,6409,1580,1385,3252,0,779,190,0,89,115,0,0,0,0,0,0,0,3,0,0,1179,0,40,0,0,240,0,49,0,36.79,26.461,6.523,5.718,13.426,0,3.216,0.784,0,0.367,0.475,0,0,0,0,0,0,0,0.012,0,0,4.868,0,0.165,0,0,0.991,0,0.202,0,71.0454138637873,"West"
"07314","Ludwigshafen am Rhein","163832",104215,69811,68644,24074,21566,3224,4442,5111,0,1864,1145,0,1121,123,0,0,0,0,0,0,0,92,0,0,4545,0,162,0,0,976,0,199,0,35.071,31.417,4.697,6.471,7.446,0,2.715,1.668,0,1.633,0.179,0,0,0,0,0,0,0,0.134,0,0,6.621,0,0.236,0,0,1.422,0,0.29,0,66.987477810296,"West"
