KRS,Name,Art,Einwohner,CDU,SPD,FDP,DIE.LINKE,GRÜNE,CSU,PIRATEN,NPD,Tierschutzpartei,REP,ÖDP,FAMILIE,Bündnis.21.RRP,RENTNER,BP,PBC,BüSo,DIE.VIOLETTEN,MLPD,Volksabstimmung,PSG,AfD,BIG,pro.Deutschland,DIE.RECHTE,DIE.FRAUEN,FREIE.WÄHLER,Partei.der.Nichtwähler,PARTEI.DER.VERNUNFT,Die.PARTEI,Wahlbeteiligung,ost_west,Medianeinkommen,Arbeitslosenquote,Ausländeranteil,Schulabgänger.ohne.Abschluss,Kriminalität,Mietpreis,Mietsteigerung,Ländlichkeit
3351,Celle,Landkreis,176157,45.532,29.033,4.415,4.324,7.027,0,1.583,1.068,0.748,0.115,0,0,0,0,0,0.128,0,0,0.015,0,0,5.19,0,0.092,0,0,0.733,0,0,0,72.54807796,West,2984,7.5,5.2,4.8,7538,5.76,9.8,46.6
3352,Cuxhaven,Landkreis,196787,43.43,33.678,3.525,4.796,7.169,0,1.47,0.901,0.813,0.031,0,0,0,0,0,0.072,0,0,0.023,0,0,3.544,0,0.101,0,0,0.446,0,0,0,73.28373373,West,2670,6.1,4.7,6.8,5287,5.58,10.4,66.1
3353,Harburg,Landkreis,245199,42.813,28.308,4.869,4.381,9.286,0,1.648,0.787,0.901,0.049,0,0,0,0,0,0.105,0,0,0.022,0,0,5.982,0,0.093,0,0,0.755,0,0,0,78.426633,West,2632,4.7,5.4,2.7,5970,8.22,12.5,31.5
3354,Lüchow-Dannenberg,Landkreis,48728,36.624,27.299,3.622,8.904,15.569,0,1.706,0.737,0.867,0.025,0,0,0,0,0,0.225,0,0,0.042,0,0,3.903,0,0.147,0,0,0.33,0,0,0,72.2851332,West,2485,9.9,4.4,7.8,5715,4.54,12.6,100
3355,Lüneburg,Landkreis,178122,36.874,29.48,4.089,6.413,13.91,0,2.419,0.9,0.803,0.038,0,0,0,0,0,0.109,0,0,0.017,0,0,4.561,0,0.09,0,0,0.296,0,0,0,75.25387455,West,2728,6.3,4.5,3.7,7371,8.04,21.7,36.4
3356,Osterholz,Landkreis,111484,38.45,34.182,3.54,6.096,9.51,0,1.865,0.965,0.918,0.078,0,0,0,0,0,0.081,0,0,0.058,0,0,3.878,0,0.113,0,0,0.268,0,0,0,74.88453433,West,2580,4.6,4.2,5,5568,5.89,11,43.4
3357,Rotenburg,Landkreis,161842,46.448,29.688,4.248,4.038,8.087,0,1.428,0.909,0.721,0.055,0,0,0,0,0,0.123,0,0,0.015,0,0,3.571,0,0.092,0,0,0.577,0,0,0,74.11507534,West,2689,4.4,4.5,4.8,6306,5.87,14.3,87
3358,Heidekreis,Landkreis,136200,43.496,32.085,3.857,4.564,7.81,0,1.349,1.136,0.872,0.055,0,0,0,0,0,0.137,0,0,0.017,0,0,3.923,0,0.122,0,0,0.576,0,0,0,72.83562324,West,2757,6.5,4.9,5.3,8258,5.38,9.8,92.1
3359,Stade,Landkreis,197448,43.305,31.735,4.196,4.315,7.999,0,1.511,0.93,0.684,0.03,0,0,0,0,0,0.076,0,0,0.024,0,0,4.684,0,0.081,0,0,0.431,0,0,0,74.00946071,West,2954,6,5.8,3.8,5989,7.26,12.2,39.6
3360,Uelzen,Landkreis,92533,41.334,32.153,3.699,4.962,9.069,0,1.96,0.793,0.764,0.061,0,0,0,0,0,0.099,0,0,0.022,0,0,4.543,0,0.094,0,0,0.446,0,0,0,73.70004751,West,2586,6.9,3.7,4,6555,5.38,11,63.9
3361,Verden,Landkreis,133215,41.258,32.194,3.753,5.165,9.623,0,1.844,0.886,0.835,0.05,0,0,0,0,0,0.177,0,0,0.026,0,0,3.792,0,0.117,0,0,0.279,0,0,0,74.8025163,West,2801,5.4,5.2,3.5,6523,6.55,12.5,34.5
3401,Delmenhorst,krsfr. Stadt,74804,37.106,36.32,3.494,6.606,6.855,0,2.015,1.445,1.019,0.099,0,0,0,0,0,0.06,0,0,0.029,0,0,4.132,0,0.163,0,0,0.656,0,0,0,67.38378528,West,2724,10.7,9.5,6.3,8835,6.08,16.5,0
3402,Emden,krsfr. Stadt,50016,25.981,48.591,3.135,6.046,9.158,0,1.782,0.854,0.734,0.073,0,0,0,0,0,0.182,0,0,0.046,0,0,3.019,0,0.085,0,0,0.313,0,0,0,67.19817183,West,3438,8.9,6.4,10.9,9193,6.17,12.2,0
3403,Oldenburg,krsfr. Stadt,160907,30.897,33.482,4.362,8.021,14.984,0,2.052,0.656,0.808,0.026,0,0,0,0,0,0.084,0,0,0.052,0,0,3.878,0,0.064,0,0,0.634,0,0,0,74.2030208,West,2960,8.4,6.7,4.5,9072,7.85,12.3,0
3404,Osnabrück,krsfr. Stadt,156897,38.92,30.979,4.549,5.957,12.938,0,2.181,0.447,0.636,0.032,0,0,0,0,0,0.161,0,0,0.033,0,0,2.751,0,0.066,0,0,0.349,0,0,0,71.50475018,West,3048,8.1,9.9,4.2,11317,7.2,19.1,0
3405,Wilhelmshaven,krsfr. Stadt,75534,36.628,36.273,3.588,6.54,7.225,0,1.745,1.084,0.935,0.077,0,0,0,0,0,0.049,0,0,0.097,0,0,4.577,0,0.139,0,0,1.042,0,0,0,68.06379764,West,3031,12.3,4.5,4.1,13477,5.03,7.5,0
3451,Ammerland,Landkreis,119917,40.904,31.426,5.995,4.458,9.062,0,1.371,0.636,0.805,0.043,0,0,0,0,0,0.078,0,0,0.02,0,0,4.66,0,0.059,0,0,0.484,0,0,0,74.19548904,West,2652,4.6,3.6,3.4,4180,6.45,15.8,40.7
3452,Aurich,Landkreis,187998,34.037,42.667,3.293,4.71,8.118,0,1.349,0.973,0.82,0.085,0,0,0,0,0,0.106,0,0,0.022,0,0,3.145,0,0.082,0,0,0.593,0,0,0,71.08937721,West,2573,7.8,3.8,8.3,5944,6.06,18.1,32.1
